Departamento,Código Divipola Departamento,Municipio,Código Divipola Municipio,Programa,Estado de Postulación,Año de Asignación,Hogares,Valor Asignado
ANTIOQUIA,5,EL CARMEN DE VIBORAL,5148,Bolsa Desplazados,Asignados,2004,41,225232000.0
ANTIOQUIA,5,EL SANTUARIO,5697,Bolsa Desplazados,Asignados,2004,39,189432000.0
ANTIOQUIA,5,EL SANTUARIO,5697,Bolsa Desplazados,Perdida de ejecutoriedad de asignación de SFV,2004,1,4475000.0
ANTIOQUIA,5,EL SANTUARIO,5697,Bolsa Ordinaria,Apto con subsidio vencido,2004,1,7518000.0
ANTIOQUIA,5,ENVIGADO,5266,Bolsa Ordinaria,Asignados,2004,1,7518000.0
ANTIOQUIA,5,FREDONIA,5282,Bolsa Esfuerzo Territorial,Asignados,2004,5,37590000.0
ANTIOQUIA,5,GIRARDOTA,5308,Bolsa Desplazados,Asignados,2004,2,8950000.0
ANTIOQUIA,5,GRANADA,5313,Bolsa Atentados terroristas,Asignados,2004,11,82698000.0
ANTIOQUIA,5,GRANADA,5313,Bolsa Desplazados,Asignados,2004,32,259550000.0
ANTIOQUIA,5,GUADALUPE,5315,Bolsa Esfuerzo Territorial,Asignados,2004,78,586404000.0
ANTIOQUIA,5,GUADALUPE,5315,Bolsa Esfuerzo Territorial,Restitucion de subsidios no aplicados,2004,2,15036000.0
ANTIOQUIA,5,GUARNE,5318,Bolsa Desplazados,Asignados,2004,2,8950000.0
ANTIOQUIA,5,GUARNE,5318,Bolsa Ordinaria,Asignados,2004,1,7518000.0
ANTIOQUIA,5,GUATAPÉ,5321,Bolsa Ordinaria,Asignados,2004,7,52626000.0
ANTIOQUIA,5,HELICONIA,5347,Bolsa Desplazados,Asignados,2004,1,8950000.0
ANTIOQUIA,5,ITAGÜÍ,5360,Bolsa Desplazados,Asignados,2004,8,44750000.0
ANTIOQUIA,5,ITAGÜÍ,5360,Bolsa Ordinaria,Apto con subsidio vencido,2004,4,30072000.0
ANTIOQUIA,5,ITAGÜÍ,5360,Bolsa Ordinaria,Asignados,2004,24,160384000.0
ANTIOQUIA,5,ITAGÜÍ,5360,Bolsa Ordinaria,Renuncias al subsidio,2004,4,25060000.0
ANTIOQUIA,5,ITAGÜÍ,5360,Bolsa Ordinaria,Restitucion de subsidios no aplicados,2004,1,5012000.0
ANTIOQUIA,5,ITAGÜÍ,5360,Bolsa Ordinaria,Restitución SFV por Indemnización,2004,2,15036000.0
ANTIOQUIA,5,LA CEJA,5376,Bolsa Atentados terroristas,Apto con subsidio vencido,2004,1,7518000.0
ANTIOQUIA,5,LA CEJA,5376,Bolsa Desplazados,Asignados,2004,53,272975000.0
ANTIOQUIA,5,LA CEJA,5376,Bolsa Ordinaria,Asignados,2004,35,258118000.0
ANTIOQUIA,5,LA ESTRELLA,5380,Bolsa Desplazados,Asignados,2004,5,26850000.0
ANTIOQUIA,5,LA PINTADA,5390,Bolsa Esfuerzo Territorial,Asignados,2004,30,225540000.0
ANTIOQUIA,5,LA PINTADA,5390,Bolsa Ordinaria,Asignados,2004,15,112770000.0
ANTIOQUIA,5,LA PINTADA,5390,Bolsa Ordinaria,Renuncias al subsidio,2004,2,15036000.0
ANTIOQUIA,5,LA UNIÓN,5400,Bolsa Desplazados,Asignados,2004,6,44750000.0
ANTIOQUIA,5,LA UNIÓN,5400,Bolsa Desplazados,Renuncia con restitucion de subsidio,2004,1,4475000.0
ANTIOQUIA,5,LIBORINA,5411,Bolsa Atentados terroristas,Asignados,2004,1,7518000.0
ANTIOQUIA,5,MARINILLA,5440,Bolsa Desplazados,Asignados,2004,1,4475000.0
ANTIOQUIA,5,MARINILLA,5440,Bolsa Ordinaria,Asignados,2004,8,60144000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Atentados terroristas,Apto con subsidio vencido,2004,1,5012000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Atentados terroristas,Asignados,2004,6,45108000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2004,1,14907000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Desplazados,Asignado posteriormente beneficiario de Vivienda Gratuita,2004,30,134250000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Desplazados,Asignados,2004,1419,7437421000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Desplazados,Perdida de ejecutoriedad de asignación de SFV,2004,2,8950000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Desplazados,Renuncia con restitucion de subsidio,2004,3,13425000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Desplazados,Renuncias al subsidio,2004,3,13425000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Ordinaria,Apto con subsidio vencido,2004,10,72674000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Ordinaria,Asignados,2004,346,2496270000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Ordinaria,Renuncia con restitucion de subsidio,2004,7,52626000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Ordinaria,Renuncias al subsidio,2004,14,102746000.0
ANTIOQUIA,5,MEDELLÍN,5001,Bolsa Ordinaria,Restitución SFV por Indemnización,2004,7,52626000.0
ANTIOQUIA,5,MUTATÁ,5480,Bolsa Desplazados,Asignados,2004,1,8950000.0
ANTIOQUIA,5,NARIÑO,5483,Bolsa Desplazados,Asignados,2004,1,8950000.0
ANTIOQUIA,5,NECHÍ,5495,Bolsa Desplazados,Asignados,2004,3,26850000.0
ANTIOQUIA,5,NECOCLÍ,5490,Bolsa Desplazados,Asignados,2004,1,8950000.0
ANTIOQUIA,5,PEÑOL,5541,Bolsa Atentados terroristas,Asignados,2004,13,97734000.0
ANTIOQUIA,5,PEÑOL,5541,Bolsa Desplazados,Asignados,2004,3,26850000.0
ANTIOQUIA,5,PUERTO BERRÍO,5579,Bolsa Desplazados,Asignados,2004,1,8950000.0
ANTIOQUIA,5,PUERTO TRIUNFO,5591,Bolsa Ordinaria,Asignados,2004,4,30072000.0
ANTIOQUIA,5,RETIRO,5607,Bolsa Ordinaria,Asignados,2004,16,120288000.0
ANTIOQUIA,5,RIONEGRO,5615,Bolsa Desplazados,Asignados,2004,112,537000000.0
ANTIOQUIA,5,RIONEGRO,5615,Bolsa Ordinaria,Asignados,2004,3,22554000.0
ANTIOQUIA,5,SABANETA,5631,Bolsa Desplazados,Asignados,2004,1,4475000.0
ANTIOQUIA,5,SAN CARLOS,5649,Bolsa Atentados terroristas,Asignados,2004,26,195468000.0
ANTIOQUIA,5,SAN CARLOS,5649,Bolsa Desplazados,Asignados,2004,45,378878500.0
ANTIOQUIA,5,SAN CARLOS,5649,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2004,2,11749494.0
ANTIOQUIA,5,SAN CARLOS,5649,Bolsa Esfuerzo Territorial,Asignados,2004,129,853151037.0
ANTIOQUIA,5,SAN CARLOS,5649,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2004,1,5874747.0
ANTIOQUIA,5,SAN CARLOS,5649,Bolsa Esfuerzo Territorial,Restitucion de subsidios no aplicados,2004,8,50284482.0
ANTIOQUIA,5,SAN FRANCISCO,5652,Bolsa Desplazados,Asignados,2004,31,277450000.0
ANTIOQUIA,5,SAN LUIS,5660,Bolsa Desplazados,Asignados,2004,27,237175000.0
ANTIOQUIA,5,SAN PEDRO DE LOS MILAGROS,5664,Bolsa Desplazados,Asignados,2004,1,4475000.0
ANTIOQUIA,5,SAN PEDRO DE URABÁ,5665,Bolsa Esfuerzo Territorial,Asignados,2004,95,714210000.0
ANTIOQUIA,5,SAN RAFAEL,5667,Bolsa Desplazados,Asignados,2004,13,93975000.0
ANTIOQUIA,5,SAN ROQUE,5670,Bolsa Ordinaria,Asignados,2004,2,15036000.0
ANTIOQUIA,5,SAN VICENTE FERRER,5674,Bolsa Desplazados,Renuncia con restitucion de subsidio,2004,1,8950000.0
ANTIOQUIA,5,SAN VICENTE FERRER,5674,Bolsa Ordinaria,Asignados,2004,1,7518000.0
ANTIOQUIA,5,SANTA ROSA DE OSOS,5686,Bolsa Esfuerzo Territorial,Asignados,2004,97,339500000.0
ANTIOQUIA,5,SANTA ROSA DE OSOS,5686,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2004,2,7000000.0
ANTIOQUIA,5,SANTA ROSA DE OSOS,5686,Bolsa Esfuerzo Territorial,Renuncias al subsidio,2004,1,3500000.0
ANTIOQUIA,5,SANTO DOMINGO,5690,Bolsa Esfuerzo Territorial,Asignados,2004,26,195468000.0
ANTIOQUIA,5,SEGOVIA,5736,Bolsa Esfuerzo Territorial,Asignados,2004,63,464837922.0
ANTIOQUIA,5,SONSÓN,5756,Bolsa Atentados terroristas,Apto con subsidio vencido,2004,4,21836000.0
ANTIOQUIA,5,SONSÓN,5756,Bolsa Atentados terroristas,Asignados,2004,32,207360887.0
ANTIOQUIA,5,SOPETRÁN,5761,Bolsa Desplazados,Asignados,2004,1,4475000.0
ANTIOQUIA,5,SOPETRÁN,5761,Bolsa Ordinaria,Asignados,2004,10,75180000.0
ANTIOQUIA,5,TARAZÁ,5790,Bolsa Desplazados,Asignados,2004,3,38764000.0
ANTIOQUIA,5,TITIRIBÍ,5809,Bolsa Desplazados,Asignados,2004,1,8950000.0
ANTIOQUIA,5,TITIRIBÍ,5809,Bolsa Esfuerzo Territorial,Asignados,2004,14,105252000.0
ANTIOQUIA,5,TURBO,5837,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2004,1,8950000.0
ANTIOQUIA,5,TURBO,5837,Bolsa Desplazados,Asignados,2004,88,793557000.0
ANTIOQUIA,5,TURBO,5837,Bolsa Desplazados,Restitución SFV Cobro Directo Fiduciaria,2004,1,8950000.0
ANTIOQUIA,5,URAMITA,5842,Bolsa Desplazados,Asignados,2004,2,17900000.0
ANTIOQUIA,5,URRAO,5847,Bolsa Desplazados,Asignados,2004,8,71600000.0
ANTIOQUIA,5,VEGACHÍ,5858,Bolsa Desplazados,Asignados,2004,1,4475000.0
ANTIOQUIA,5,VENECIA,5861,Bolsa Esfuerzo Territorial,Asignados,2004,11,82698000.0
ANTIOQUIA,5,VIGÍA DEL FUERTE,5873,Bolsa Desplazados,Asignados,2004,2,17900000.0
ANTIOQUIA,5,YALÍ,5885,Bolsa Ordinaria,Asignados,2004,1,7518000.0
ANTIOQUIA,5,YARUMAL,5887,Bolsa Ordinaria,Asignados,2004,113,849534000.0
ANTIOQUIA,5,YONDÓ,5893,Bolsa Esfuerzo Territorial,Asignados,2004,100,751800000.0
ANTIOQUIA,5,ZARAGOZA,5895,Bolsa Desplazados,Asignados,2004,13,114918000.0
ANTIOQUIA,5,ABEJORRAL,5002,Bolsa Desplazados,Asignados,2005,2,17900000.0
ANTIOQUIA,5,ANDES,5034,Bolsa Esfuerzo Territorial,Asignados,2005,3,22554000.0
ANTIOQUIA,5,APARTADÓ,5045,Bolsa Desastres Naturales,Asignados,2005,145,1161667500.0
ANTIOQUIA,5,APARTADÓ,5045,Bolsa Desastres Naturales,Restitución SFV por Vencimiento Vigencia,2005,6,48069000.0
ANTIOQUIA,5,APARTADÓ,5045,Bolsa Desplazados,Asignados,2005,25,302673000.0
ANTIOQUIA,5,APARTADÓ,5045,Habilitación de Titulos,Apto con subsidio vencido,2005,928,2649624600.0
ANTIOQUIA,5,APARTADÓ,5045,Habilitación de Titulos,Asignados,2005,947,100950200.0
ANTIOQUIA,5,APARTADÓ,5045,Habilitación de Titulos,Renuncias al subsidio,2005,1,106600.0
ANTIOQUIA,5,APARTADÓ,5045,Habilitación de Titulos,Subsidio Revocado,2005,17,49490000.0
ANTIOQUIA,5,BELLO,5088,Bolsa Desplazados,Asignados,2005,46,366950000.0
ANTIOQUIA,5,BELLO,5088,Bolsa Desplazados,Renuncia con restitucion de subsidio,2005,1,4475000.0
ANTIOQUIA,5,BELLO,5088,Bolsa Ordinaria,Asignados,2005,2,14020125.0
ANTIOQUIA,5,BELLO,5088,Bolsa Ordinaria,Restitucion de subsidios no aplicados,2005,1,8011500.0
ANTIOQUIA,5,BRICEÑO,5107,Bolsa Esfuerzo Territorial,Asignados,2005,50,398732350.0
ANTIOQUIA,5,CAICEDO,5125,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2005,1,7518000.0
ANTIOQUIA,5,CAREPA,5147,Bolsa Ordinaria,Asignados,2005,17,76500000.0
ANTIOQUIA,5,CAREPA,5147,Bolsa Ordinaria,Renuncias al subsidio,2005,1,7500000.0
