,Nombre Departamento,Código Departamento,Programa,Estado de Postulación,Año,Hogares,Valor Asignado,Senso Hogares,Senso Viviendas
15,ANTIOQUIA,5,Bolsa Ordinaria,Asignados,2003,562,3744677000.0,1369857,1314326
16,ANTIOQUIA,5,Bolsa Ordinaria,Renuncia a la postulación,2003,1,7100000.0,1369857,1314326
17,ANTIOQUIA,5,Bolsa Ordinaria,Renuncia con restitucion de subsidio,2003,10,68330000.0,1369857,1314326
18,ANTIOQUIA,5,Bolsa Ordinaria,Renuncias al subsidio,2003,144,863079000.0,1369857,1314326
19,ANTIOQUIA,5,Bolsa Ordinaria,Restitucion de subsidios no aplicados,2003,3,20088000.0,1369857,1314326
20,ANTIOQUIA,5,Bolsa Ordinaria,Restitución SFV por Indemnización,2003,40,284280000.0,1369857,1314326
21,ANTIOQUIA,5,Bolsa Atentados terroristas,Apto con subsidio vencido,2004,6,34366000.0,1397066,1341627
22,ANTIOQUIA,5,Bolsa Atentados terroristas,Asignados,2004,91,649389887.0,1397066,1341627
23,ANTIOQUIA,5,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2004,2,23857000.0,1397066,1341627
24,ANTIOQUIA,5,Bolsa Desplazados,Asignado posteriormente beneficiario de Vivienda Gratuita,2004,30,134250000.0,1397066,1341627
25,ANTIOQUIA,5,Bolsa Desplazados,Asignados,2004,2155,12588584500.0,1397066,1341627
26,ANTIOQUIA,5,Bolsa Desplazados,Perdida de ejecutoriedad de asignación de SFV,2004,3,13425000.0,1397066,1341627
27,ANTIOQUIA,5,Bolsa Desplazados,Renuncia con restitucion de subsidio,2004,5,26850000.0,1397066,1341627
28,ANTIOQUIA,5,Bolsa Desplazados,Renuncias al subsidio,2004,3,13425000.0,1397066,1341627
29,ANTIOQUIA,5,Bolsa Desplazados,Restitución SFV Cobro Directo Fiduciaria,2004,1,8950000.0,1397066,1341627
30,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2004,2,11749494.0,1397066,1341627
31,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Asignados,2004,714,4848162449.0,1397066,1341627
32,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2004,3,12874747.0,1397066,1341627
33,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncias al subsidio,2004,1,3500000.0,1397066,1341627
34,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitucion de subsidios no aplicados,2004,10,65320482.0,1397066,1341627
35,ANTIOQUIA,5,Bolsa Ordinaria,Apto con subsidio vencido,2004,22,160384000.0,1397066,1341627
36,ANTIOQUIA,5,Bolsa Ordinaria,Asignados,2004,682,4974822417.0,1397066,1341627
37,ANTIOQUIA,5,Bolsa Ordinaria,Renuncia con restitucion de subsidio,2004,7,52626000.0,1397066,1341627
38,ANTIOQUIA,5,Bolsa Ordinaria,Renuncias al subsidio,2004,30,218022000.0,1397066,1341627
39,ANTIOQUIA,5,Bolsa Ordinaria,Restitucion de subsidios no aplicados,2004,1,5012000.0,1397066,1341627
40,ANTIOQUIA,5,Bolsa Ordinaria,Restitución SFV por Indemnización,2004,86,646230000.0,1397066,1341627
41,ANTIOQUIA,5,Bolsa Atentados terroristas,Apto con subsidio vencido,2005,4,32046000.0,1425184,1369905
42,ANTIOQUIA,5,Bolsa Atentados terroristas,Asignados,2005,33,259500828.0,1425184,1369905
43,ANTIOQUIA,5,Bolsa Atentados terroristas,Renuncias al subsidio,2005,1,8011500.0,1425184,1369905
44,ANTIOQUIA,5,Bolsa Atentados terroristas,Restitución SFV por Vencimiento Vigencia,2005,2,16023000.0,1425184,1369905
45,ANTIOQUIA,5,Bolsa Desastres Naturales,Asignados,2005,145,1161667500.0,1425184,1369905
46,ANTIOQUIA,5,Bolsa Desastres Naturales,Restitución SFV por Vencimiento Vigencia,2005,6,48069000.0,1425184,1369905
47,ANTIOQUIA,5,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2005,12,161013000.0,1425184,1369905
48,ANTIOQUIA,5,Bolsa Desplazados,Asignado posteriormente beneficiario de Vivienda Gratuita,2005,4,17900000.0,1425184,1369905
49,ANTIOQUIA,5,Bolsa Desplazados,Asignados,2005,819,6781545000.0,1425184,1369905
50,ANTIOQUIA,5,Bolsa Desplazados,Perdida de ejecutoriedad de asignación de SFV,2005,1,4475000.0,1425184,1369905
51,ANTIOQUIA,5,Bolsa Desplazados,Renuncia con restitucion de subsidio,2005,3,22375000.0,1425184,1369905
52,ANTIOQUIA,5,Bolsa Desplazados,Restitución SFV Cobro Directo Fiduciaria,2005,5,35500000.0,1425184,1369905
53,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2005,8,51903519.0,1425184,1369905
54,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Asignados,2005,396,2643104233.1,1425184,1369905
55,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitucion de subsidios no aplicados,2005,8,37747936.0,1425184,1369905
56,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV por Indemnización,2005,15,43261905.0,1425184,1369905
57,ANTIOQUIA,5,Bolsa Ordinaria,Apto con subsidio vencido,2005,28,210301875.0,1425184,1369905
58,ANTIOQUIA,5,Bolsa Ordinaria,Asignados,2005,310,2273886375.0,1425184,1369905
59,ANTIOQUIA,5,Bolsa Ordinaria,Renuncia con restitucion de subsidio,2005,2,12017250.0,1425184,1369905
60,ANTIOQUIA,5,Bolsa Ordinaria,Renuncias al subsidio,2005,24,161053750.0,1425184,1369905
61,ANTIOQUIA,5,Bolsa Ordinaria,Restitucion de subsidios no aplicados,2005,3,21364000.0,1425184,1369905
62,ANTIOQUIA,5,Bolsa Ordinaria,Restitución SFV Cobro Directo Fiduciaria,2005,61,488701500.0,1425184,1369905
63,ANTIOQUIA,5,Bolsa Ordinaria,Restitución SFV por Vencimiento Vigencia,2005,3,18025875.0,1425184,1369905
64,ANTIOQUIA,5,Bolsa unica Nacional,Apto con subsidio vencido,2005,39,297570000.0,1425184,1369905
65,ANTIOQUIA,5,Bolsa unica Nacional,Asignados,2005,742,5661460000.0,1425184,1369905
66,ANTIOQUIA,5,Bolsa unica Nacional,Renuncia con restitucion de subsidio,2005,4,30520000.0,1425184,1369905
67,ANTIOQUIA,5,Bolsa unica Nacional,Renuncias al subsidio,2005,9,68670000.0,1425184,1369905
68,ANTIOQUIA,5,Bolsa unica Nacional,Restitución SFV por Vencimiento Vigencia,2005,1,7630000.0,1425184,1369905
69,ANTIOQUIA,5,Habilitación de Titulos,Apto con subsidio vencido,2005,1779,2747489600.0,1425184,1369905
70,ANTIOQUIA,5,Habilitación de Titulos,Asignados,2005,2330,259909424.0,1425184,1369905
71,ANTIOQUIA,5,Habilitación de Titulos,Renuncia con restitucion de subsidio,2005,4,460000.0,1425184,1369905
72,ANTIOQUIA,5,Habilitación de Titulos,Renuncias al subsidio,2005,1,106600.0,1425184,1369905
73,ANTIOQUIA,5,Habilitación de Titulos,Restitucion de subsidios no aplicados,2005,637,73255000.0,1425184,1369905
74,ANTIOQUIA,5,Habilitación de Titulos,Subsidio Revocado,2005,17,49490000.0,1425184,1369905
75,ANTIOQUIA,5,Bolsa Atentados terroristas,Apto con subsidio vencido,2006,2,17136000.0,1455690,1400593
76,ANTIOQUIA,5,Bolsa Atentados terroristas,Asignados,2006,321,2740802000.0,1455690,1400593
77,ANTIOQUIA,5,Bolsa Atentados terroristas,Renuncia con restitucion de subsidio,2006,1,8568000.0,1455690,1400593
78,ANTIOQUIA,5,Bolsa Atentados terroristas,Renuncias al subsidio,2006,1,8568000.0,1455690,1400593
79,ANTIOQUIA,5,Bolsa Atentados terroristas,Restitución SFV por Vencimiento Vigencia,2006,15,128520000.0,1455690,1400593
80,ANTIOQUIA,5,Bolsa Desastres Naturales,Apto con subsidio vencido,2006,43,366198000.0,1455690,1400593
81,ANTIOQUIA,5,Bolsa Desastres Naturales,Asignados,2006,344,2927358000.0,1455690,1400593
82,ANTIOQUIA,5,Bolsa Desastres Naturales,Renuncia con restitucion de subsidio,2006,6,49738500.0,1455690,1400593
83,ANTIOQUIA,5,Bolsa Desastres Naturales,Renuncias al subsidio,2006,4,32046000.0,1455690,1400593
84,ANTIOQUIA,5,Bolsa Desastres Naturales,Restitucion de subsidios no aplicados,2006,2,17136000.0,1455690,1400593
85,ANTIOQUIA,5,Bolsa Desastres Naturales,Restitución SFV por Vencimiento Vigencia,2006,34,282964500.0,1455690,1400593
86,ANTIOQUIA,5,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2006,14,203991000.0,1455690,1400593
87,ANTIOQUIA,5,Bolsa Desplazados,Asignados,2006,554,5629320636.0,1455690,1400593
88,ANTIOQUIA,5,Bolsa Desplazados,Renuncia con restitucion de subsidio,2006,4,40014000.0,1455690,1400593
89,ANTIOQUIA,5,Bolsa Desplazados,Renuncias al subsidio,2006,1,10200000.0,1455690,1400593
90,ANTIOQUIA,5,Bolsa Desplazados,Subsidio Revocado,2006,2,20007000.0,1455690,1400593
91,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2006,17,92839299.0,1455690,1400593
92,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Asignados,2006,550,4054162317.5,1455690,1400593
93,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2006,5,31937642.9,1455690,1400593
94,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncias al subsidio,2006,13,97734000.0,1455690,1400593
95,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitucion de subsidios no aplicados,2006,28,187794216.6,1455690,1400593
96,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV Cobro Directo Fiduciaria,2006,19,142842000.0,1455690,1400593
97,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV por Indemnización,2006,167,1252496860.36,1455690,1400593
98,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV por Vencimiento Vigencia,2006,44,307638209.73,1455690,1400593
99,ANTIOQUIA,5,Bolsa unica Nacional,Apto con subsidio vencido,2006,53,304000000.0,1455690,1400593
100,ANTIOQUIA,5,Bolsa unica Nacional,Asignados,2006,2263,12774075000.0,1455690,1400593
101,ANTIOQUIA,5,Bolsa unica Nacional,Renuncia a la postulación,2006,1,5325000.0,1455690,1400593
102,ANTIOQUIA,5,Bolsa unica Nacional,Renuncia con restitucion de subsidio,2006,131,732750000.0,1455690,1400593
103,ANTIOQUIA,5,Bolsa unica Nacional,Renuncias al subsidio,2006,89,487325000.0,1455690,1400593
104,ANTIOQUIA,5,Bolsa unica Nacional,Restitucion de subsidios no aplicados,2006,5,28300000.0,1455690,1400593
105,ANTIOQUIA,5,Bolsa unica Nacional,Restitución SFV por Vencimiento Vigencia,2006,464,2613175000.0,1455690,1400593
106,ANTIOQUIA,5,Bolsa Atentados terroristas,Asignados,2007,292,2521782900.0,1488463,1433578
107,ANTIOQUIA,5,Bolsa Atentados terroristas,Renuncia con restitucion de subsidio,2007,2,17675700.0,1488463,1433578
108,ANTIOQUIA,5,Bolsa Atentados terroristas,Restitución SFV por Vencimiento Vigencia,2007,22,193353300.0,1488463,1433578
109,ANTIOQUIA,5,Bolsa Desastres Naturales,Apto con subsidio vencido,2007,22,200369400.0,1488463,1433578
110,ANTIOQUIA,5,Bolsa Desastres Naturales,Asignados,2007,229,2084044200.0,1488463,1433578
111,ANTIOQUIA,5,Bolsa Desastres Naturales,Renuncia con restitucion de subsidio,2007,4,35891100.0,1488463,1433578
112,ANTIOQUIA,5,Bolsa Desastres Naturales,Restitución SFV por Vencimiento Vigencia,2007,13,118400100.0,1488463,1433578
113,ANTIOQUIA,5,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2007,90,1188507000.0,1488463,1433578
114,ANTIOQUIA,5,Bolsa Desplazados,Asignado posteriormente beneficiario de Vivienda Gratuita,2007,1,5421250.0,1488463,1433578
115,ANTIOQUIA,5,Bolsa Desplazados,Asignados,2007,2312,21240329626.0,1488463,1433578
116,ANTIOQUIA,5,Bolsa Desplazados,Perdida de ejecutoriedad de asignación de SFV,2007,5,50142250.0,1488463,1433578
117,ANTIOQUIA,5,Bolsa Desplazados,Renuncia con restitucion de subsidio,2007,10,109094750.0,1488463,1433578
118,ANTIOQUIA,5,Bolsa Desplazados,Renuncias al subsidio,2007,1,10842500.0,1488463,1433578
119,ANTIOQUIA,5,Bolsa Desplazados,Restitución SFV por Indemnización,2007,4,59628000.0,1488463,1433578
120,ANTIOQUIA,5,Bolsa Desplazados,Subsidio Revocado,2007,7,81198500.0,1488463,1433578
121,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2007,21,160750000.0,1488463,1433578
122,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Asignados,2007,50,388237500.0,1488463,1433578
123,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitucion de subsidios no aplicados,2007,3,24034500.0,1488463,1433578
124,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV por Vencimiento Vigencia,2007,3,22700000.0,1488463,1433578
125,ANTIOQUIA,5,Bolsa unica Nacional,Apto con subsidio vencido,2007,11,94145100.0,1488463,1433578
126,ANTIOQUIA,5,Bolsa unica Nacional,Asignados,2007,487,4195664700.0,1488463,1433578
127,ANTIOQUIA,5,Bolsa unica Nacional,Renuncia con restitucion de subsidio,2007,25,214553100.0,1488463,1433578
128,ANTIOQUIA,5,Bolsa unica Nacional,Renuncias al subsidio,2007,8,67769700.0,1488463,1433578
129,ANTIOQUIA,5,Bolsa unica Nacional,Restitución SFV por Vencimiento Vigencia,2007,45,383134000.0,1488463,1433578
130,ANTIOQUIA,5,Habilitación de Titulos,Asignados,2007,254,25400000.0,1488463,1433578
131,ANTIOQUIA,5,Habilitación de Titulos,Restitucion de subsidios no aplicados,2007,150,15000000.0,1488463,1433578
132,ANTIOQUIA,5,Programa Vivienda Gratuita Fase I,Asignados,2007,14,208698000.0,1488463,1433578
133,ANTIOQUIA,5,Bolsa Atentados terroristas,Asignados,2008,23,233519000.0,1523900,1469243
134,ANTIOQUIA,5,Bolsa Atentados terroristas,Renuncia con restitucion de subsidio,2008,1,1536200.0,1523900,1469243
135,ANTIOQUIA,5,Bolsa Atentados terroristas,Restitución SFV por Vencimiento Vigencia,2008,10,77103000.0,1523900,1469243
136,ANTIOQUIA,5,Bolsa Concejales,Apto con subsidio vencido,2008,4,33458750.0,1523900,1469243
137,ANTIOQUIA,5,Bolsa Concejales,Asignados,2008,12,111452250.0,1523900,1469243
138,ANTIOQUIA,5,Bolsa Concejales,Renuncias al subsidio,2008,1,5307250.0,1523900,1469243
139,ANTIOQUIA,5,Bolsa Concejales,Restitución SFV por Vencimiento Vigencia,2008,2,14998750.0,1523900,1469243
140,ANTIOQUIA,5,Bolsa Desastres Naturales,Apto con subsidio vencido,2008,10,96684250.0,1523900,1469243
141,ANTIOQUIA,5,Bolsa Desastres Naturales,Asignados,2008,154,1484984700.0,1523900,1469243
142,ANTIOQUIA,5,Bolsa Desastres Naturales,Renuncia con restitucion de subsidio,2008,30,294898500.0,1523900,1469243
143,ANTIOQUIA,5,Bolsa Desastres Naturales,Renuncias al subsidio,2008,1,10153000.0,1523900,1469243
144,ANTIOQUIA,5,Bolsa Desastres Naturales,Restitución SFV por Vencimiento Vigencia,2008,30,294898500.0,1523900,1469243
145,ANTIOQUIA,5,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2008,331,4547532456.0,1523900,1469243
146,ANTIOQUIA,5,Bolsa Desplazados,Asignados,2008,3379,39534090206.0,1523900,1469243
147,ANTIOQUIA,5,Bolsa Desplazados,Perdida de ejecutoriedad de asignación de SFV,2008,3,20675750.0,1523900,1469243
148,ANTIOQUIA,5,Bolsa Desplazados,Renuncia al Subsidio - Pendiente de Restitución,2008,1,14907000.0,1523900,1469243
149,ANTIOQUIA,5,Bolsa Desplazados,Renuncia con restitucion de subsidio,2008,23,271269250.0,1523900,1469243
150,ANTIOQUIA,5,Bolsa Desplazados,Renuncias al subsidio,2008,2,23075000.0,1523900,1469243
151,ANTIOQUIA,5,Bolsa Desplazados,Restitución SFV por Indemnización,2008,34,506838000.0,1523900,1469243
152,ANTIOQUIA,5,Bolsa Desplazados,Subsidio Revocado,2008,6,89442000.0,1523900,1469243
153,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2008,8,70676400.0,1523900,1469243
154,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2008,8,71260200.0,1523900,1469243
155,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV por Vencimiento Vigencia,2008,55,427008701.44,1523900,1469243
156,ANTIOQUIA,5,Bolsa Ordinaria,Apto con subsidio vencido,2008,13,118400100.0,1523900,1469243
157,ANTIOQUIA,5,Bolsa Ordinaria,Asignados,2008,183,1520985900.0,1523900,1469243
158,ANTIOQUIA,5,Bolsa Ordinaria,Renuncia con restitucion de subsidio,2008,7,45538500.0,1523900,1469243
159,ANTIOQUIA,5,Bolsa Ordinaria,Renuncias al subsidio,2008,8,63753900.0,1523900,1469243
160,ANTIOQUIA,5,Bolsa Ordinaria,Restitución SFV por Vencimiento Vigencia,2008,40,358236200.0,1523900,1469243
161,ANTIOQUIA,5,Bolsa Saludable,Apto con subsidio vencido,2008,121,441945036.07,1523900,1469243
162,ANTIOQUIA,5,Bolsa Saludable,Asignados,2008,935,3384768322.6,1523900,1469243
163,ANTIOQUIA,5,Bolsa Saludable,Perdida de ejecutoriedad de asignación de SFV,2008,1,3572698.0,1523900,1469243
164,ANTIOQUIA,5,Bolsa Saludable,Renuncia con restitucion de subsidio,2008,5,18146368.0,1523900,1469243
165,ANTIOQUIA,5,Bolsa Saludable,Restitución SFV por Vencimiento Vigencia,2008,1,3692000.0,1523900,1469243
166,ANTIOQUIA,5,Programa Vivienda Gratuita Fase I,Asignados,2008,58,858394750.0,1523900,1469243
167,ANTIOQUIA,5,Subsidios en Especie y complementarios,Apto con subsidio vencido,2008,132,152618901.6,1523900,1469243
168,ANTIOQUIA,5,Ahorro Programado Contractual,Apto con subsidio vencido,2009,25,177636080.0,1562439,1508017
169,ANTIOQUIA,5,Ahorro Programado Contractual,Asignados,2009,7,49739690.0,1562439,1508017
170,ANTIOQUIA,5,Bolsa Atentados terroristas,Asignados,2009,2,21863600.0,1562439,1508017
171,ANTIOQUIA,5,Bolsa Atentados terroristas,Subsidio Revocado,2009,1,10931800.0,1562439,1508017
172,ANTIOQUIA,5,Bolsa Concejales,Apto con subsidio vencido,2009,7,64597000.0,1562439,1508017
173,ANTIOQUIA,5,Bolsa Concejales,Asignados,2009,25,241493400.0,1562439,1508017
174,ANTIOQUIA,5,Bolsa Concejales,Restitución SFV por Vencimiento Vigencia,2009,3,27577950.0,1562439,1508017
175,ANTIOQUIA,5,Bolsa Desastres Naturales,Apto con subsidio vencido,2009,10,91838500.0,1562439,1508017
176,ANTIOQUIA,5,Bolsa Desastres Naturales,Asignados,2009,2,15460250.0,1562439,1508017
177,ANTIOQUIA,5,Bolsa Desastres Naturales,Restitución SFV por Vencimiento Vigencia,2009,1,10153000.0,1562439,1508017
178,ANTIOQUIA,5,Bolsa Desplazados,Apto con subsidio vencido,2009,7,95653250.0,1562439,1508017
179,ANTIOQUIA,5,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2009,214,3059661750.0,1562439,1508017
180,ANTIOQUIA,5,Bolsa Desplazados,Asignados,2009,1955,27001536000.0,1562439,1508017
181,ANTIOQUIA,5,Bolsa Desplazados,Perdida de ejecutoriedad de asignación de SFV,2009,5,59628000.0,1562439,1508017
182,ANTIOQUIA,5,Bolsa Desplazados,Renuncia con restitucion de subsidio,2009,9,119256000.0,1562439,1508017
183,ANTIOQUIA,5,Bolsa Desplazados,Renuncias al subsidio,2009,2,29814000.0,1562439,1508017
184,ANTIOQUIA,5,Bolsa Desplazados,Restitución SFV por Indemnización,2009,19,277021750.0,1562439,1508017
185,ANTIOQUIA,5,Bolsa Desplazados,Subsidio Revocado,2009,6,77019500.0,1562439,1508017
186,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2009,21,207532100.0,1562439,1508017
187,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Asignados,2009,24,221371250.0,1562439,1508017
188,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2009,3,21084800.0,1562439,1508017
189,ANTIOQUIA,5,Bolsa Recicladores,Apto con subsidio vencido,2009,9,93168750.0,1562439,1508017
190,ANTIOQUIA,5,Bolsa Recicladores,Asignados,2009,11,120249800.0,1562439,1508017
191,ANTIOQUIA,5,Bolsa Recicladores,Renuncia con restitucion de subsidio,2009,1,10931800.0,1562439,1508017
192,ANTIOQUIA,5,Bolsa Saludable,Apto con subsidio vencido,2009,118,448096346.0,1562439,1508017
193,ANTIOQUIA,5,Bolsa Saludable,Asignados,2009,510,1729745099.0,1562439,1508017
194,ANTIOQUIA,5,Bolsa Saludable,Renuncia con restitucion de subsidio,2009,3,11642400.0,1562439,1508017
195,ANTIOQUIA,5,Bolsa Saludable,Restitución SFV por Vencimiento Vigencia,2009,1,3975200.0,1562439,1508017
196,ANTIOQUIA,5,Bolsa unica Nacional,Apto con subsidio vencido,2009,64,634254000.0,1562439,1508017
197,ANTIOQUIA,5,Bolsa unica Nacional,Asignados,2009,565,5852985100.0,1562439,1508017
198,ANTIOQUIA,5,Bolsa unica Nacional,Renuncia con restitucion de subsidio,2009,33,303605900.0,1562439,1508017
199,ANTIOQUIA,5,Bolsa unica Nacional,Restitucion de subsidios no aplicados,2009,1,10931800.0,1562439,1508017
200,ANTIOQUIA,5,Bolsa unica Nacional,Restitución SFV por Vencimiento Vigencia,2009,9,88945100.0,1562439,1508017
201,ANTIOQUIA,5,Ahorro Programado Contractual,Apto con subsidio vencido,2010,4,33377321.0,1604416,1550230
202,ANTIOQUIA,5,Ahorro Programado Contractual,Asignados,2010,4,36616500.0,1604416,1550230
203,ANTIOQUIA,5,Ahorro Programado Contractual,Renuncia con restitucion de subsidio,2010,1,10815000.0,1604416,1550230
204,ANTIOQUIA,5,Bolsa Concejales,Apto con subsidio vencido,2010,11,118450000.0,1604416,1550230
205,ANTIOQUIA,5,Bolsa Concejales,Asignados,2010,10,107120000.0,1604416,1550230
206,ANTIOQUIA,5,Bolsa Desastres Naturales,Apto con subsidio vencido,2010,2,22660000.0,1604416,1550230
207,ANTIOQUIA,5,Bolsa Desastres Naturales,Asignados,2010,123,1393590000.0,1604416,1550230
208,ANTIOQUIA,5,Bolsa Desplazados,Apto con subsidio vencido,2010,27,396550000.0,1604416,1550230
209,ANTIOQUIA,5,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2010,493,7327162500.0,1604416,1550230
210,ANTIOQUIA,5,Bolsa Desplazados,Asignados,2010,2234,33258700000.0,1604416,1550230
211,ANTIOQUIA,5,Bolsa Desplazados,Perdida de ejecutoriedad de asignación de SFV,2010,11,139050000.0,1604416,1550230
212,ANTIOQUIA,5,Bolsa Desplazados,Renuncia con restitucion de subsidio,2010,19,271662500.0,1604416,1550230
213,ANTIOQUIA,5,Bolsa Desplazados,Renuncias al subsidio,2010,8,117162500.0,1604416,1550230
214,ANTIOQUIA,5,Bolsa Desplazados,Restitución SFV por Indemnización,2010,19,287112500.0,1604416,1550230
215,ANTIOQUIA,5,Bolsa Desplazados,Subsidio Revocado,2010,8,123600000.0,1604416,1550230
216,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2010,22,237896650.0,1604416,1550230
217,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Asignados,2010,200,2195655300.0,1604416,1550230
218,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2010,8,88954300.0,1604416,1550230
219,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncias al subsidio,2010,2,22402500.0,1604416,1550230
220,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitucion de subsidios no aplicados,2010,12,131181600.0,1604416,1550230
221,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV por Indemnización,2010,5,54659000.0,1604416,1550230
222,ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV por Vencimiento Vigencia,2010,5,54949450.0,1604416,1550230
223,ANTIOQUIA,5,Bolsa Recicladores,Apto con subsidio vencido,2010,13,136058700.0,1604416,1550230
224,ANTIOQUIA,5,Bolsa Recicladores,Asignados,2010,12,135960000.0,1604416,1550230
225,ANTIOQUIA,5,Bolsa Recicladores,Renuncia con restitucion de subsidio,2010,1,11330000.0,1604416,1550230
226,ANTIOQUIA,5,Bolsa unica Nacional,Apto con subsidio vencido,2010,4,40745800.0,1604416,1550230
227,ANTIOQUIA,5,Bolsa unica Nacional,Asignados,2010,12,121988950.0,1604416,1550230
228,ANTIOQUIA,5,Concurso de Esfuerzo Territorial Nacional,Apto con subsidio vencido,2010,6,67980000.0,1604416,1550230
229,ANTIOQUIA,5,Concurso de Esfuerzo Territorial Nacional,Asignados,2010,61,681345000.0,1604416,1550230
230,ANTIOQUIA,5,Concurso de Esfuerzo Territorial Nacional,Renuncia con restitucion de subsidio,2010,20,226342500.0,1604416,1550230
231,ANTIOQUIA,5,Concurso de Esfuerzo Territorial Nacional,Renuncias al subsidio,2010,1,11072500.0,1604416,1550230
232,ANTIOQUIA,5,Concurso de Esfuerzo Territorial Nacional,Restitución SFV por Vencimiento Vigencia,2010,13,143427500.0,1604416,1550230
