Departamento,Código Divipola Departamento,Programa,Estado de Postulación,Año de Asignación,Hogares,Valor Asignado
ANTIOQUIA,5,Programa Vivienda Gratuita Fase I,Asignados,2008,58,858394750.0
ANTIOQUIA,5,Subsidios en Especie y complementarios,Apto con subsidio vencido,2008,132,152618901.6
ANTIOQUIA,5,Ahorro Programado Contractual,Apto con subsidio vencido,2009,25,177636080.0
ANTIOQUIA,5,Ahorro Programado Contractual,Asignados,2009,7,49739690.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Asignados,2009,2,21863600.0
ANTIOQUIA,5,Bolsa Atentados terroristas,Subsidio Revocado,2009,1,10931800.0
ANTIOQUIA,5,Bolsa Concejales,Apto con subsidio vencido,2009,7,64597000.0
ANTIOQUIA,5,Bolsa Concejales,Asignados,2009,25,241493400.0
ANTIOQUIA,5,Bolsa Concejales,Restitución SFV por Vencimiento Vigencia,2009,3,27577950.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Apto con subsidio vencido,2009,10,91838500.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Asignados,2009,2,15460250.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Restitución SFV por Vencimiento Vigencia,2009,1,10153000.0
ANTIOQUIA,5,Bolsa Desplazados,Apto con subsidio vencido,2009,7,95653250.0
ANTIOQUIA,5,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2009,214,3059661750.0
ANTIOQUIA,5,Bolsa Desplazados,Asignados,2009,1955,27001536000.0
ANTIOQUIA,5,Bolsa Desplazados,Perdida de ejecutoriedad de asignación de SFV,2009,5,59628000.0
ANTIOQUIA,5,Bolsa Desplazados,Renuncia con restitucion de subsidio,2009,9,119256000.0
ANTIOQUIA,5,Bolsa Desplazados,Renuncias al subsidio,2009,2,29814000.0
ANTIOQUIA,5,Bolsa Desplazados,Restitución SFV por Indemnización,2009,19,277021750.0
ANTIOQUIA,5,Bolsa Desplazados,Subsidio Revocado,2009,6,77019500.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2009,21,207532100.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Asignados,2009,24,221371250.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2009,3,21084800.0
ANTIOQUIA,5,Bolsa Recicladores,Apto con subsidio vencido,2009,9,93168750.0
ANTIOQUIA,5,Bolsa Recicladores,Asignados,2009,11,120249800.0
ANTIOQUIA,5,Bolsa Recicladores,Renuncia con restitucion de subsidio,2009,1,10931800.0
ANTIOQUIA,5,Bolsa Saludable,Apto con subsidio vencido,2009,118,448096346.0
ANTIOQUIA,5,Bolsa Saludable,Asignados,2009,510,1729745099.0
ANTIOQUIA,5,Bolsa Saludable,Renuncia con restitucion de subsidio,2009,3,11642400.0
ANTIOQUIA,5,Bolsa Saludable,Restitución SFV por Vencimiento Vigencia,2009,1,3975200.0
ANTIOQUIA,5,Bolsa unica Nacional,Apto con subsidio vencido,2009,64,634254000.0
ANTIOQUIA,5,Bolsa unica Nacional,Asignados,2009,565,5852985100.0
ANTIOQUIA,5,Bolsa unica Nacional,Renuncia con restitucion de subsidio,2009,33,303605900.0
ANTIOQUIA,5,Bolsa unica Nacional,Restitucion de subsidios no aplicados,2009,1,10931800.0
ANTIOQUIA,5,Bolsa unica Nacional,Restitución SFV por Vencimiento Vigencia,2009,9,88945100.0
ANTIOQUIA,5,Ahorro Programado Contractual,Apto con subsidio vencido,2010,4,33377321.0
ANTIOQUIA,5,Ahorro Programado Contractual,Asignados,2010,4,36616500.0
ANTIOQUIA,5,Ahorro Programado Contractual,Renuncia con restitucion de subsidio,2010,1,10815000.0
ANTIOQUIA,5,Bolsa Concejales,Apto con subsidio vencido,2010,11,118450000.0
ANTIOQUIA,5,Bolsa Concejales,Asignados,2010,10,107120000.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Apto con subsidio vencido,2010,2,22660000.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Asignados,2010,123,1393590000.0
ANTIOQUIA,5,Bolsa Desplazados,Apto con subsidio vencido,2010,27,396550000.0
ANTIOQUIA,5,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2010,493,7327162500.0
ANTIOQUIA,5,Bolsa Desplazados,Asignados,2010,2234,33258700000.0
ANTIOQUIA,5,Bolsa Desplazados,Perdida de ejecutoriedad de asignación de SFV,2010,11,139050000.0
ANTIOQUIA,5,Bolsa Desplazados,Renuncia con restitucion de subsidio,2010,19,271662500.0
ANTIOQUIA,5,Bolsa Desplazados,Renuncias al subsidio,2010,8,117162500.0
ANTIOQUIA,5,Bolsa Desplazados,Restitución SFV por Indemnización,2010,19,287112500.0
ANTIOQUIA,5,Bolsa Desplazados,Subsidio Revocado,2010,8,123600000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2010,22,237896650.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Asignados,2010,200,2195655300.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2010,8,88954300.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncias al subsidio,2010,2,22402500.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitucion de subsidios no aplicados,2010,12,131181600.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV por Indemnización,2010,5,54659000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV por Vencimiento Vigencia,2010,5,54949450.0
ANTIOQUIA,5,Bolsa Recicladores,Apto con subsidio vencido,2010,13,136058700.0
ANTIOQUIA,5,Bolsa Recicladores,Asignados,2010,12,135960000.0
ANTIOQUIA,5,Bolsa Recicladores,Renuncia con restitucion de subsidio,2010,1,11330000.0
ANTIOQUIA,5,Bolsa unica Nacional,Apto con subsidio vencido,2010,4,40745800.0
ANTIOQUIA,5,Bolsa unica Nacional,Asignados,2010,12,121988950.0
ANTIOQUIA,5,Concurso de Esfuerzo Territorial Nacional,Apto con subsidio vencido,2010,6,67980000.0
ANTIOQUIA,5,Concurso de Esfuerzo Territorial Nacional,Asignados,2010,61,681345000.0
ANTIOQUIA,5,Concurso de Esfuerzo Territorial Nacional,Renuncia con restitucion de subsidio,2010,20,226342500.0
ANTIOQUIA,5,Concurso de Esfuerzo Territorial Nacional,Renuncias al subsidio,2010,1,11072500.0
ANTIOQUIA,5,Concurso de Esfuerzo Territorial Nacional,Restitución SFV por Vencimiento Vigencia,2010,13,143427500.0
ANTIOQUIA,5,Macroproyecto,Apto con subsidio vencido,2010,2,22660000.0
ANTIOQUIA,5,Macroproyecto,Asignados,2010,331,3748942500.0
ANTIOQUIA,5,Macroproyecto,Renuncias al subsidio,2010,8,90640000.0
ANTIOQUIA,5,Programa Vivienda Gratuita Fase I,Asignados,2010,8,123600000.0
ANTIOQUIA,5,Ahorro Programado Contractual,Apto con subsidio vencido,2011,12,119661879.0
ANTIOQUIA,5,Ahorro Programado Contractual,Asignados,2011,17,169208713.0
ANTIOQUIA,5,Bolsa Concejales,Apto con subsidio vencido,2011,2,18210400.0
ANTIOQUIA,5,Bolsa Concejales,Asignados,2011,17,183710800.0
ANTIOQUIA,5,Bolsa Concejales,Renuncia al Subsidio - Pendiente de Restitución,2011,1,11783200.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Asignados,2011,176,2064608204.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Perdida de ejecutoriedad de asignación de SFV,2011,1,11730500.0
ANTIOQUIA,5,Bolsa Desplazados,Apto con subsidio vencido,2011,1,16068000.0
ANTIOQUIA,5,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2011,136,2118740000.0
ANTIOQUIA,5,Bolsa Desplazados,Asignados,2011,2094,33422321000.0
ANTIOQUIA,5,Bolsa Desplazados,Perdida de ejecutoriedad de asignación de SFV,2011,13,208884000.0
ANTIOQUIA,5,Bolsa Desplazados,Renuncia con restitucion de subsidio,2011,22,346801000.0
ANTIOQUIA,5,Bolsa Desplazados,Renuncias al subsidio,2011,79,1269372000.0
ANTIOQUIA,5,Bolsa Desplazados,Restitucion de subsidios no aplicados,2011,235,3775980000.0
ANTIOQUIA,5,Bolsa Desplazados,Subsidio Revocado,2011,1,9373000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Apto con subsidio vencido,2011,37,407535100.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Asignados,2011,116,1260814300.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2011,51,550020000.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitucion de subsidios no aplicados,2011,15,146919200.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Restitución SFV por Vencimiento Vigencia,2011,17,157077250.0
ANTIOQUIA,5,Bolsa unica Nacional,Asignados,2011,2,19844500.0
ANTIOQUIA,5,Concurso de Esfuerzo Territorial Nacional,Asignados,2011,95,585143000.0
ANTIOQUIA,5,Concurso de Esfuerzo Territorial Nacional,Renuncia con restitucion de subsidio,2011,2,12318800.0
ANTIOQUIA,5,Macroproyecto,Apto con subsidio vencido,2011,19,223471600.0
ANTIOQUIA,5,Macroproyecto,Asignados,2011,984,11571971800.0
ANTIOQUIA,5,Macroproyecto,Renuncias al subsidio,2011,42,494280600.0
ANTIOQUIA,5,Programa Vivienda Gratuita Fase I,Asignados,2011,57,915876000.0
ANTIOQUIA,5,Ahorro Programado Contractual,Apto con subsidio vencido,2012,19,204480090.0
ANTIOQUIA,5,Ahorro Programado Contractual,Asignados,2012,21,233086485.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Asignados,2012,62,727294516.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Renuncia con restitucion de subsidio,2012,1,11330000.0
ANTIOQUIA,5,Bolsa Desastres Naturales,Renuncias al subsidio,2012,1,11730500.0
ANTIOQUIA,5,Bolsa Desplazados,Asignado con aplicación en Vivienda Gratuita,2012,3,51003000.0
ANTIOQUIA,5,Bolsa Desplazados,Asignados,2012,10,166908000.0
ANTIOQUIA,5,Bolsa Desplazados,Subsidio Revocado,2012,1,9917250.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Asignados,2012,2,22402500.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Renuncia con restitucion de subsidio,2012,3,33732500.0
ANTIOQUIA,5,Programa Vivienda Gratuita Fase I,Asignados,2012,12,476028000.0
ANTIOQUIA,5,Bolsa Desplazados,Apto con subsidio vencido,2013,1,17685000.0
ANTIOQUIA,5,Bolsa Desplazados,Asignados,2013,5,78821250.0
ANTIOQUIA,5,Bolsa Esfuerzo Territorial,Asignados,2013,1,7518000.0
ANTIOQUIA,5,Fenómeno de la Niña,Renuncias al subsidio,2013,50,886607553.0
ANTIOQUIA,5,Fenómeno de la Niña,Subsidio Revocado,2013,75,1205100000.0
ANTIOQUIA,5,Macroproyecto,Apto con subsidio vencido,2013,1,11783200.0
ANTIOQUIA,5,Macroproyecto,Asignados,2013,14,209468400.0
ANTIOQUIA,5,Macroproyecto,Renuncias al subsidio,2013,13,436223200.0
ANTIOQUIA,5,Programa Vivienda Gratuita Fase I,Apto con subsidio vencido,2013,10,259915914.0
